variant,gpus,N,samples,failed,min_sec,median_sec,max_sec,rel_spread_pct,steps,machine,approach,t_per_step,t_1gpu,speedup,efficiency,t_ref,gain,baseline_eff,baseline_ok
4-omp-stream-omp-p2p,4,1152,5,0,12.0702,12.3361,12.5017,3.5,500,H100,02,0.024672200000000002,0.0993308,4.026021189841197,1.0065052974602993,0.02402550310063863,0.973788438024928,1.0065052974602993,True
4-omp-stream-omp-p2p,4,1280,5,0,15.4011,15.4391,15.5545,1.0,500,H100,02,0.030878199999999998,0.127418,4.126471102590178,1.0316177756475444,0.030021029762900858,0.9722402783485067,1.0316177756475444,True
1-omp,1,512,5,0,3.4315,3.4639,3.6767,7.1,501,H100,03,0.006913972055888224,0.006913972055888224,1.0,1.0,0.0071843984574886475,1.0391130307462144,1.0,True
1-omp,1,640,5,0,6.1476,6.1522,6.1842,0.6,500,H100,03,0.0123044,0.0123044,1.0,1.0,0.012300130464970176,0.999653007458322,1.0,True
1-omp,1,768,5,0,13.1658,13.7227,13.7428,4.2,501,H100,03,0.02739061876247505,0.02739061876247505,1.0,1.0,0.027365644602237355,0.9990882221225352,1.0,True
1-omp,1,896,5,0,21.6003,21.6044,21.6547,0.3,501,H100,03,0.04312255489021956,0.04312255489021956,1.0,1.0,0.04312960519311836,1.0001634945544566,1.0,True
1-omp,1,1024,5,0,34.0411,34.1801,34.7617,2.1,501,H100,03,0.06822375249500999,0.06822375249500999,1.0,1.0,0.06886549034751525,1.0094063699083717,1.0,True
1-omp,1,1152,5,0,49.6148,49.6372,49.7328,0.2,500,H100,03,0.0992744,0.0992744,1.0,1.0,0.09927939190889526,1.0000502839492886,1.0,True
1-omp,1,1280,5,0,65.6355,65.6875,65.8334,0.3,500,H100,03,0.131375,0.131375,1.0,1.0,0.1300335558185407,0.9897891974769988,1.0,True
2-omp,2,512,5,0,2.226,2.2916,2.3286,4.5,501,H100,03,0.004574051896207585,0.006913972055888224,1.5115639727701171,0.7557819863850586,0.005489891694034515,1.2002250561665615,0.46098676112241566,False
2-omp,2,640,5,0,3.2579,3.2652,3.2735,0.5,500,H100,03,0.0065304000000000004,0.0123044,1.884172485605782,0.942086242802891,0.007942959333804624,1.216305177907115,0.5279422110121652,False
2-omp,2,768,5,0,7.5501,7.5697,7.6077,0.8,501,H100,03,0.015109181636726548,0.02739061876247505,1.8128459516229176,0.9064229758114588,0.01859030553674864,1.2303979119266375,0.49128330688647476,False
2-omp,2,896,5,0,11.3194,11.3336,11.3409,0.2,501,H100,03,0.022621956087824354,0.04312255489021956,1.906225735865038,0.953112867932519,0.02800230419573163,1.2378374393009763,0.503437338438107,False
2-omp,2,1024,5,0,17.7506,18.1684,18.256,2.8,501,H100,03,0.03626427145708583,0.06822375249500999,1.8812938948944324,0.9406469474472162,0.045148845858178355,1.244995254119645,0.4957056496027511,False
2-omp,2,1152,5,0,26.252,26.298,26.3162,0.2,500,H100,03,0.052596,0.0992744,1.8874895429310214,0.9437447714655107,0.06523390365963308,1.2402826005710146,0.4952497784094993,False
2-omp,2,1280,5,0,33.7229,33.7484,33.9117,0.6,500,H100,03,0.0674968,0.131375,1.9463885695321852,0.9731942847660926,0.08411355147943757,1.246185767020623,0.5053751111959297,False
2-omp-stream,2,512,5,0,1.6893,1.756,1.7635,4.2,501,H100,03,0.00350499001996008,0.006913972055888224,1.972608200455581,0.9863041002277905,0.004756188513970536,1.3569763357057167,0.45954372433136337,False
2-omp-stream,2,640,5,0,2.5415,2.5516,2.5732,1.2,500,H100,03,0.0051032000000000004,0.0123044,2.4111145947640695,1.2055572973820348,0.00687852988292608,1.3478856174412288,0.5311593702527275,False
2-omp-stream,2,768,5,0,6.5579,6.5938,6.6015,0.7,501,H100,03,0.01316127744510978,0.02739061876247505,2.0811519912645213,1.0405759956322607,0.016983863455133832,1.2904418682735372,0.49180946493775335,False
2-omp-stream,2,896,5,0,10.0631,10.0762,10.1001,0.4,501,H100,03,0.020112175648702595,0.04312255489021956,2.14410194319287,1.072050971596435,0.025983375014294156,1.2919226377167357,0.5032240493128236,False
2-omp-stream,2,1024,5,0,16.286,16.6107,16.6512,2.2,501,H100,03,0.033155089820359286,0.06822375249500999,2.0577158096889354,1.0288579048444677,0.042606766021246634,1.285074667331573,0.4956219893131344,False
